strategy,run_count,correctness_rate,mean_precision,mean_recall,mean_unnecessary_selected,mean_recovery_work,validity_unknown_rate,unsupported_rate,mean_semantic_gap
blocking,147,1.0,,,0.0,0.0,0.0,0.0,0.0
checkpoint,147,1.0,0.6666666666666666,1.0,0.6666666666666666,3.6666666666666665,0.0,0.0,0.6666666666666666
dependency_only,147,1.0,0.6666666666666666,1.0,0.6666666666666666,5.333333333333333,0.0,0.0,0.6666666666666666
effectguard,147,1.0,1.0,1.0,0.0,2.3333333333333335,0.0,0.0,0.6666666666666666
restart,147,1.0,0.2833333333333333,1.0,2.6666666666666665,7.0,0.0,0.0,0.6666666666666666
