dependency_density,workflow_size,dependency_only_precision,effectguard_precision,precision_advantage,dependency_only_selected_count,effectguard_selected_count
sparse,10,0.8333333333333334,1.0,0.16666666666666663,6,5
sparse,25,0.625,1.0,0.375,16,10
sparse,50,0.5757575757575758,1.0,0.4242424242424242,33,19
medium,10,0.8333333333333334,1.0,0.16666666666666663,6,5
medium,25,0.625,1.0,0.375,16,10
medium,50,0.5757575757575758,1.0,0.4242424242424242,33,19
dense,10,0.8333333333333334,1.0,0.16666666666666663,6,5
dense,25,0.625,1.0,0.375,16,10
dense,50,0.5757575757575758,1.0,0.4242424242424242,33,19
