strategy,run_count,completed_count,unsupported_count,recovery_failed_count,implementation_error_count,correctness_rate
blocking,72,72,0,0,0,1.0
checkpoint,72,72,0,0,0,0.0
dependency_only,72,48,24,0,0,1.0
effectguard,72,48,24,0,0,1.0
restart,72,72,0,0,0,0.0
