group,pair_count,selection_precision_effectguard_mean,selection_precision_dependency_only_mean,selection_precision_difference_mean,unnecessary_selected_count_effectguard_mean,unnecessary_selected_count_dependency_only_mean,unnecessary_selected_count_difference_mean,recovery_work_effectguard_mean,recovery_work_dependency_only_mean,recovery_work_difference_mean,selected_count_effectguard_mean,selected_count_dependency_only_mean,selected_count_difference_mean,semantic_gap_effectguard_mean,semantic_gap_dependency_only_mean,semantic_gap_difference_mean
dense,1080,1.0,0.47930283224401216,0.5206971677559886,0.0,12.166666666666666,12.166666666666666,6.0,30.333333333333332,24.333333333333332,6.833333333333333,19.0,12.166666666666666,12.166666666666666,12.166666666666666,0.0
medium,1080,1.0,0.47930283224401216,0.5206971677559886,0.0,12.166666666666666,12.166666666666666,6.0,30.333333333333332,24.333333333333332,6.833333333333333,19.0,12.166666666666666,12.166666666666666,12.166666666666666,0.0
sparse,1080,1.0,0.47930283224401216,0.5206971677559886,0.0,12.166666666666666,12.166666666666666,6.0,30.333333333333332,24.333333333333332,6.833333333333333,19.0,12.166666666666666,12.166666666666666,12.166666666666666,0.0
